Panel 1.1,Location,On Plan,Installed,,,Panel 1.3,Location,On Plan,Installed,,,Legende,
,,,,,,F1-MDP-6 400V/230V 50Hz,F10-A1-9.0-FPF,X,X,,,,
,,,,,,"TC10,1 Throat(underfurnace) Coolig Fan 75kW",F10-A1-9.0-FRF,X,X,,,,
,,,,,,"TC10,2 Throat(underfurnace) Coolig Fan 75kW",F10-A1-9.0-FRF,X,X,,,,
,,,,,,"CAF10,1 COMBUSTION AIR FAN 45kW",F10-A1-9.0-FRF,X,X,,,,
,,,,,,"CAF10,2 COMBUSTION AIR FAN 45kW",F10-A1-9.0-FRF,X,X,,,,
,,,,,,"WE&FH10,1 Working end & Forehearth fan LEFT 37kW",F10-A1-9.0-FUR,X,,,,,
,,,,,,"WE&FH10,2 Working end & Forehearth fan LEFT 37kW",F10-A1-9.0-FUR,X,,,,,
,,,,,,"WE&FH10,3 Working end & Forehearth fan RIGHT 37kW",F10-A1-9.0-FUR,X,,,,,
,,,,,,"WE&FH10,4 Working end & Forehearth fan RIGHT 37kW",F10-A1-9.0-FUR,X,,,,,
,,,,,,"UT-UP 41,80kW",UTB-A2-0.0-UTW,X,,,,,
,,,,,,"F1-AUP 2,25kW",F10-A2-0.0-HSE,X,,,,,
,,,,,,IN-UP 6kW,,,,,,,
,,,,,,F10-BCF-2 Left Fluxline Cooling Fan 150kW,F10-A1-9.0-FRF,X,X,,,,
,,,,,,F10-BCF-4 Right Fluxline Cooling Fan 150kW,F10-A1-9.0-FRF,X,X,,,,
,,,,,,F10-SCF-2 Skewback Cooling Fan 45kW,F10-A1-9.0-FRF,X,X,,,,
,,,,,,F10-BCF-1 Left Fluxline Cooling Fan 150kW,F10-A1-9.0-FRF,X,X,,,,
,,,,,,F10-BCF-1 RIGHT Fluxline Cooling Fan 150kW,F10-A1-9.0-FRF,X,X,,,,
,,,,,,F10-SCF-1 Skewback Cooling Fan 45kW,F10-A1-9.0-FRF,X,F,,,,
